NAME           STD.CARD   ACA.CARD
cld            null       5015
lfc            null       5017
dmc            1028       5019
ldj            null       5021
bem            1034       5023
bij            1037       5025
mjk            null       5027
cag            1043       5029
hal            null       5031
aki            1049       5033
afm            null       5035
kgl            1055       5037
ige            null       5039
ihd            null       5041
aaf            1064       5043
ikd            1067       5045
kcg            null       5047
jkb            1073       5049
fcc            1076       5051
jkj            null       5053
dkf            1082       5055
jji            1085       5057
kej            1088       5059
ieb            null       5061
jdk            1094       5063
dcf            null       5065
cbm            1100       5067
bbm            1103       5069
djf            null       5071
ikj            1109       5073
lke            null       5075
lkm            1115       5077
khc            null       5079
geg            1121       5081
gka            1124       5083
hbm            null       5085
hak            1130       5087
khg            1133       5089
ljh            null       5091
hej            1139       5093
jdm            1142       5095
hjb            null       5097
lal            1148       5099
jfg            1151       5101
hge            null       5103
ecb            1157       5105
all            1160       5107
aaj            1163       5109
ahg            1166       5111
jlk            1169       5113
bhd            1172       5115
jhe            1175       5117
eid            1178       5119
ele            1181       5121
gec            null       5123
hdi            1187       5125
jff            1190       5127
cmf            1193       5129
mfg            null       5131
hmb            1199       5133
fmf            1202       5135
lbk            null       5137
ffe            1208       5139
dmc            1211       5141
ihj            null       5143
jhc            1217       5145
kgc            1220       5147
ldd            null       5149
eed            1226       5151
aae            null       5153
ifg            1232       5155
ihl            1235       5157
aha            null       5159
jle            1241       5161
ala            null       5163
mih            1247       5165
ifl            null       5167
gcb            1253       5169
mlf            null       5171
llg            1259       5173
cfb            1262       5175
ecm            null       5177
iab            1268       5179
jjb            null       5181
dkg            null       5183
khl            null       5185
jck            1280       5187
cdg            null       5189
ilg            1286       5191
iel            null       5193
kgm            1292       5195
mga            null       5197
kmb            1298       5199
lbk            null       5201
elb            1304       5203
gkk            1307       5205
ifl            1310       5207
idj            1313       5209
jkm            1316       5211
kif            null       5213
fkg            null       5215
lme            1325       5217
jkf            1328       5219
gcb            1331       5221
efi            1334       5223
bjb            1337       5225
lcg            1340       5227
kkk            null       5229
bkf            null       5231
ekl            1349       5233
ebg            null       5235
gig            null       5237
mkj            1358       5239
fai            1361       5241
agf            1364       5243
lgi            1367       5245
mff            1370       5247
fig            1373       5249
iae            null       5251
lbf            1379       5253
ifj            1382       5255
efb            null       5257
cjj            1388       5259
lgc            1391       5261
ilg            null       5263
dbm            null       5265
chj            1400       5267
bhf            1403       5269
ckj            1406       5271
kbd            1409       5273
ebj            1412       5275
akf            1415       5277
bdl            1418       5279
afa            1421       5281
aej            1424       5283
dbk            1427       5285
akl            1430       5287
kab            1433       5289
fij            1436       5291
ika            null       5293
eeh            1442       5295
lld            null       5297
hma            1448       5299
jil            1451       5301
aaj            1454       5303
fde            1457       5305
kll            1460       5307
gee            1463       5309
kcm            null       5311
iel            1469       5313
mia            1472       5315
gmh            1475       5317
idh            null       5319
caj            null       5321
mdh            1484       5323
eed            1487       5325
kfm            1490       5327
idj            1493       5329
mfe            1496       5331
gfj            null       5333
jcb            1502       5335
akj            1505       5337
abe            null       5339
jgj            1511       5341
hde            1514       5343
mfc            null       5345
hfa            1520       5347
mkd            1523       5349
hgl            1526       5351
ghj            1529       5353
jhb            null       5355
akm            1535       5357
gki            1538       5359
jhe            1541       5361
cdm            1544       5363
mlm            null       5365
idk            1550       5367
lhf            1553       5369
lmf            1556       5371
gfl            null       5373
dbm            null       5375
ake            1565       5377
abb            1568       5379
jik            null       5381
eea            1574       5383
aee            1577       5385
kdh            1580       5387
cke            1583       5389
khg            null       5391
bcm            null       5393
mhh            1592       5395
bhk            1595       5397
bci            1598       5399
fdb            1601       5401
gmk            1604       5403
cbj            1607       5405
icb            1610       5407
mcd            1613       5409
beh            null       5411
jdd            1619       5413
ccl            null       5415
jfg            1625       5417
fkk            1628       5419
bff            null       5421
lbb            1634       5423
hah            1637       5425
gef            null       5427
ldc            1643       5429
adi            1646       5431
mjb            1649       5433
dmd            1652       5435
kad            null       5437
ddm            1658       5439
gel            null       5441
kaa            1664       5443
adi            null       5445
gfc            1670       5447
jee            1673       5449
ahe            1676       5451
fim            1679       5453
bbk            1682       5455
jfb            1685       5457
ecl            1688       5459
bhh            1691       5461
fbl            1694       5463
imh            1697       5465
ffj            1700       5467
gmi            1703       5469
kbk            1706       5471
eia            null       5473
dji            1712       5475
bkg            1715       5477
mfi            null       5479
hbg            1721       5481
ada            1724       5483
bhf            null       5485
mkf            1730       5487
hjj            null       5489
mkf            1736       5491
kdm            1739       5493
gkf            null       5495
jbi            1745       5497
bab            1748       5499
dhl            null       5501
bjd            1754       5503
hhm            1757       5505
hab            null       5507
big            1763       5509
del            1766       5511
ahb            1769       5513
cjf            1772       5515
ahe            1775       5517
aik            1778       5519
jcd            1781       5521
ghb            1784       5523
cgf            1787       5525
die            1790       5527
lff            1793       5529
cck            1796       5531
hfe            1799       5533
lek            1802       5535
cig            1805       5537
edc            null       5539
llf            1811       5541
ibm            1814       5543
elj            1817       5545
ggg            1820       5547
mhi            1823       5549
klb            1826       5551
igg            1829       5553
kmb            1832       5555
fgj            1835       5557
ekb            1838       5559
igh            1841       5561
ddf            1844       5563
jge            1847       5565
kam            1850       5567
hel            null       5569
ceg            1856       5571
ele            1859       5573
hfj            1862       5575
cla            1865       5577
fca            1868       5579
bck            1871       5581
fmd            1874       5583
ccd            1877       5585
gdc            1880       5587
hld            1883       5589
bfm            null       5591
bjm            1889       5593
ffb            null       5595
clk            1895       5597
bic            null       5599
fkg            1901       5601
lkg            1904       5603
hac            1907       5605
ghf            1910       5607
dia            1913       5609
emm            1916       5611
hgb            1919       5613
bmd            1922       5615
eja            1925       5617
idb            null       5619
lkm            null       5621
glf            1934       5623
mgl            1937       5625
alj            1940       5627
gah            1943       5629
fej            1946       5631
kjd            null       5633
emh            1952       5635
amg            null       5637
gll            1958       5639
gie            1961       5641
dgj            null       5643
dcj            1967       5645
lal            null       5647
mkk            1973       5649
kbe            null       5651
hgc            1979       5653
eeg            1982       5655
gaf            null       5657
eii            1988       5659
alg            1991       5661
lmi            1994       5663
